"player_name","birthday"
"Felipe Anderson Pereira Gomes","1993-04-15"
"Matt Doherty","1992-01-16"
"Ismaily Gonçalves dos Santos","1990-01-11"
"Kevin Volland","1992-07-30"
"Francisco Alcácer García","1993-08-30"
"Jasper Cillessen","1989-04-22"
"Jordi Masip López","1989-01-03"
"Pablo Sarabia García","1992-05-11"
"Jonathan Viera Ramos","1989-10-01"
"Sebastián Coates Nión","1990-10-07"
"Kevin Kampl","1990-10-09"
"Xherdan Shaqiri","1991-10-10"
"Thomas Delaney","1991-09-03"
"Juan Guillermo Cuadrado Bello","1988-05-26"
"Mario Götze","1992-06-03"
"Eduardo Antonio Salvio","1990-07-13"
"Taison Barcellos Freda","1988-01-13"
"Marlos Romero Bonfim","1988-06-07"
"Max Kruse","1988-03-19"
"Sami Khedira","1987-04-04"
"Javier Martínez Aginaga","1988-09-02"
"Sven Bender","1989-04-27"
"Iván Marcano Sierra","1987-06-23"
"Simon Luc Hildebert Mignolet","1988-03-06"
"Marek Hamšík","1987-07-27"
"Łukasz Fabiański","1985-04-18"
"Andrea Consigli","1987-01-27"
"Franck Bilal Ribéry","1983-04-07"
"Héctor Miguel Herrera López","1990-04-19"
"André-Pierre Gignac","1985-12-05"
"Kléper Laveran de Lima Ferreira","1983-02-26"
"Andrés Iniesta Luján","1984-05-11"
"Segundo Mandíquez","1989-03-16"
"José María Sildero","1992-02-29"
"Egidio Maestre Schetino","1992-02-29"
"Mauro Evidio Nérez","1988-02-29"
"Luis Roberto Dálves","1992-02-29"
"Saúl Marcelo Ardero","1988-02-29"
"Matías David Baldona","1984-02-29"
"Jaime Nicolás Frendado","1984-02-29"
"Jorge Ezequiel Serendero","1988-02-29"
"Maximiliano Gómez González","1996-08-14"
"Tanguy Ndombèlé Alvaro","1996-12-28"
"Mauro Wilney Arambarri Rosa","1995-09-30"
"Çağlar Söyüncü","1996-05-23"
"Tony Josimar Abranjes Meneses","1988-02-29"
"Héniton Enaldo Pires Tramontino","1996-02-29"
"Maikel Renan Catarino Fagundes","1996-02-29"
"Mario Hermoso Canseco","1995-06-18"
"Yeray Álvarez López","1995-01-24"
"Oleksandr Zinchenko","1996-12-15"
"Alejandro Remiro Gargallo","1995-03-24"
"Gelson Dany Batalha Martins","1995-05-11"
"Diogo José Teixeira da Silva","1996-12-04"
"Valentin Rongier","1994-12-07"
"Stefan Lainer","1992-08-27"
"Daniel Ceballos Fernández","1996-08-07"
"Lukas Klostermann","1996-06-03"
"Hirving Rodrigo Lozano Bahena","1995-07-30"
"Victor Nilsson Lindelöf","1994-07-17"
"Matías Vecino Falero","1991-08-24"
"Corentin Tolisso","1994-08-03"
"Juan Agustín Musso","1994-05-06"
"Franco Armani","1986-10-16"
"Pierre-Emile Højbjerg","1995-08-05"
"João Mário Naval da Costa Eduardo","1993-01-19"
"Federico Bernardeschi","1994-02-16"
"Kerem Demirbay","1993-07-03"
"Moussa Dembélé","1996-07-12"
"Daniele Rugani","1994-07-29"
"Rubén Peña Jiménez","1991-07-18"
"Domenico Berardi","1994-08-01"
"Otávio Edmilson da Silva Monteiro","1995-02-09"
"Piotr Zieliński","1994-05-20"
"Lucas Vázquez Iglesias","1991-07-01"
"Andrea Belotti","1993-12-20"
"Adnan Januzaj","1995-02-05"
"William Silva de Carvalho","1992-04-07"
"Jack Grealish","1995-09-10"
"Alassane Plea","1993-03-10"
"Ben Davies","1993-04-24"
"Íñigo Martínez Berridi","1991-05-17"
"Kurt Happy Zouma","1994-10-27"
"Šime Vrsaljko","1992-01-10"
"Damián Nicolás Suárez Suárez","1988-04-27"
"Héctor Bellerín Moruno","1995-03-19"
"Pavel Kadeřábek","1992-04-25"
"John Stones","1994-05-28"
"Willy Boly","1991-02-03"
"James Tarkowski","1992-11-19"
"Jérôme Roussillon","1993-01-06"
"Gerard Deulofeu Lázaro","1994-03-13"
"Julian Draxler","1993-09-20"
"Martin Hinteregger","1992-09-07"
"Benjamin Lecomte","1991-04-26"
"José Ignacio Fernández Iglesias","1990-01-18"
"Nico Schulz","1993-04-01"
"José Ángel Gómez Campaña","1993-05-31"
"Granit Xhaka","1992-09-27"
"Mathew Ryan","1992-04-08"
"Cédric Bakambu","1991-04-11"
"Marc Bartra Aregall","1991-01-15"
"Serge Aurier","1992-12-24"
"Grzegorz Krychowiak","1990-01-29"
"Enzo Nicolás Pérez","1986-02-22"
"Daniel William John Ings","1992-07-23"
"Willian José da Silva","1991-11-23"
"André Gomes Magalhães de Almeida","1990-09-10"
"Henrikh Mkhitaryan","1989-01-21"
"Mario Gaspar Pérez Martínez","1990-11-24"
"Sergio Escudero Palomo","1989-09-02"
"Marcos Alonso Mendoza","1990-12-28"
"高拉特","1991-06-05"
"Nemanja Matić","1988-08-01"
"Benjamin André","1990-08-03"
"Asier Illarramendi Andonegi","1990-03-08"
"Adem Ljajić","1991-09-29"
"Luuk de Jong","1990-08-27"
"Vicente Guaita Panadero","1987-01-10"
"Pedro Eliezer Rodríguez Ledesma","1987-07-28"
"Givanildo Vieira de Souza","1986-07-25"
"Francis Coquelin","1991-05-13"
"Giacomo Bonaventura","1989-08-22"
"Nicolas N'Koulou","1990-03-27"
"Lars Stindl","1988-08-26"
"Luiz Gustavo Dias","1987-07-23"
"Giuliano Victor de Paula","1990-05-31"
"Alexis Alejandro Sánchez Sánchez","1988-12-19"
"Sebastian Giovinco","1987-01-26"
"David Luiz Moreira Marinho","1987-04-22"
"Diego da Silva Costa","1988-10-07"
"Simon Thorup Kjær","1989-03-26"
"Branislav Ivanović","1984-02-22"
"Antonio Adán Garrido","1987-05-13"
"Ignacio Monreal Eraso","1986-02-26"
"Łukasz Piszczek","1985-06-03"
"Sergio Germán Romero","1987-02-22"
"Daniel Wass","1989-05-31"
"Raúl García Escudero","1986-07-11"
"Erik Lamela","1992-03-04"
"Jonathan Grant Evans","1988-01-03"
"João Miranda de Souza Filho","1984-09-07"
"Stéphane Ruffier","1986-09-27"
"Radamel Falcao García Zárate","1986-02-10"
"Mousa Sidi Yaya Dembélé","1987-07-16"
"Fabio Quagliarella","1983-01-31"
"Bafétimbi Fredius Gomis","1985-08-06"
"Igor Akinfeev","1986-04-08"
"Luís Carlos Almeida da Cunha","1986-11-17"
"James Philip Milner","1986-01-04"
"Joaquín Sánchez Rodríguez","1981-07-21"
"Arjen Robben","1984-01-23"
"Leandro Miguel Sáreda","1992-02-29"
"Enzo Martín Riquero","1988-02-29"
"Rafael Di Leonardo","1996-02-29"
"Edgar Manuel Guichón","1988-02-29"
"Carlos Vinícius Alves Morais","1995-03-22"
"Aluísio Chaves Ribeiro Moraes Júnior","1987-04-04"
"Predrag Rajković","1995-10-31"
"Héctor Junior Firpo Adamés","1996-08-22"
"Youcef Atal","1996-05-17"
"Nemanja Maksimović","1995-01-26"
"Enis Bardhi","1995-07-02"
"Scott McTominay","1996-12-08"
"Édouard Mendy","1992-03-01"
"Álvaro Odriozola Arzalluz","1995-12-14"
"Denzel Justus Morris Dumfries","1996-04-18"
"Ruslan Malinovskyi","1993-05-04"
"Bernard Gabriel Prestão Chaves","1992-02-29"
"Everton Jorge Andrade Zanon","1996-02-29"
"Adnan Claudiano Vidual Machado","1992-02-29"
"Milot Rashica","1996-06-28"
"André Miguel Valente da Silva","1995-11-06"
"Luis Ezequiel Ávila","1994-02-06"
"Lorenzo Pellegrini","1996-06-19"
"Moussa Marega","1991-04-14"
"Pablo Fornals Malla","1996-02-22"
"Aleksandr Golovin","1996-05-30"
"Eric Bertrand Bailly","1994-04-12"
"Duje Ćaleta-Car","1996-09-17"
"Joan Jordán Moreno","1994-07-06"
"Cristian David Pavón","1996-01-21"
"Ramy Bensebaini","1995-04-16"
"Borja Iglesias Quintas","1993-01-17"
"Jaime Mata Arnaiz","1988-10-24"
"Harry Winks","1996-02-02"
"Julian Weigl","1995-09-08"
"Munir El Haddadi Mohamed","1995-09-01"
"Jason Denayer","1995-06-28"
"Joseba Zaldúa Bengoetxea","1992-06-24"
"Ante Rebić","1993-09-21"
"Tiemoué Bakayoko","1994-08-17"
"Baptiste Santamaría","1995-03-09"
"Hamari Traoré","1992-01-27"
"João Paulo Dias Fernandes","1992-11-09"
"José Luis Morales Nogales","1987-07-23"
"Daniel García Carrillo","1990-05-24"
"Armando Izzo","1992-03-02"
"Ayoze Pérez Gutiérrez","1993-07-29"
"Milton Casco","1988-04-11"
"Darío Ismael Benedetto","1990-05-17"
"Wílmar Enrique Barrios Terán","1993-10-16"
"Aleksey Miranchuk","1995-10-17"
"Frank Yusty Fabra Palacios","1991-02-22"
"Adama Traoré Diarra","1996-01-25"
"Abderrazak Hamdallah","1990-12-17"
"Andreas Christensen","1996-04-10"
"Ricardo Jorge da Luz Horta","1994-09-15"
"Jonathan Tah","1996-02-11"
"José Pedro Malheiro de Sá","1993-01-17"
"Philipp Martin Max","1993-09-30"
"André Filipe Tavares Gomes","1993-07-30"
"Pierluigi Gollini","1995-03-18"
"Valentino Lazaro","1996-03-24"
"Rubén García Santos","1993-07-14"
"Morgan Sanson","1994-08-18"
"Emerson Palmieri dos Santos","1994-08-03"
"Kevin Mbabu","1995-04-19"
"Samuel Castillejo Azuaga","1995-01-18"
"Darwin Daniel Machís Marcano","1993-02-07"
"Rui Tiago Dantas da Silva","1994-02-07"
"Nathan Aké","1995-02-18"
"Omar Mascarell González","1993-02-02"
"Moanes Dabour","1992-05-14"
"Emil Forsberg","1991-10-23"
"Gabriel Appelt Pires","1993-09-18"
"Matheus Lima Magalhães","1992-07-19"
"Ryan Fraser","1994-02-24"
"Leandro Daniel Paredes","1994-06-29"
"Maximilian Arnold","1994-05-27"
"Taras Stepanenko","1989-08-08"
"Luka Milivojević","1991-04-07"
"James Ward-Prowse","1994-11-01"
"Vilmos Tamás Orban","1992-11-03"
"Mário Rui Silva Duarte","1991-05-27"
"Kenny Lala","1991-10-03"
"Alejandro Pozuelo Melero","1991-09-20"
"André Martín Carrillo Díaz","1991-06-14"
"Álvaro González Soberón","1990-01-08"
"Alexander Schwolow","1992-06-02"
"Fernando Lucas Martins","1992-03-03"
"Eric Dier","1994-01-15"
"Conor Coady","1993-02-25"
"Salif Sané","1990-08-25"
"Jordan Veretout","1993-03-01"
"Geoffrey Kondogbia","1993-02-15"
"Faouzi Ghoulam","1991-02-01"
"Rafael Alcântara do Nascimento","1993-02-12"
"Aïssa Mandi","1991-10-22"
"Marco Bizot","1991-03-10"
"Víctor Machín Pérez","1989-11-02"
"Matz Sels","1992-02-26"
"Ibai Gómez Pérez","1989-11-11"
"Lucas Pérez Martínez","1988-09-10"
"Danilo Luiz da Silva","1991-07-15"
"João Pedro Geraldino dos Santos Galvão","1992-03-09"
"Luis Fernando Muriel Fruto","1991-04-16"
"Alex Oxlade-Chamberlain","1993-08-15"
"Marcelo Nicolás Lodeiro Benítez","1989-03-21"
"Andy Delort","1991-10-09"
"Roberto Júnior Fernández Torres","1988-03-29"
"Nemanja Gudelj","1991-11-16"
"Jaume Vicent Costa Jordá","1988-03-18"
"艾克森","1989-07-13"
"Fabián Ariel Orellana Valenzuela","1986-01-27"
"Nicolás Hernán Gonzalo Otamendi","1988-02-12"
"Ander Herrera Agüera","1989-08-14"
"Stephan El Shaarawy","1992-10-27"
"José Ángel Valdés Díaz","1989-09-05"
"Chris Smalling","1989-11-22"
"Ben Mee","1989-09-23"
"Vicente Iborra de la Fuente","1988-01-16"
"Francesco Caputo","1987-08-06"
"Alex Teixeira dos Santos","1990-01-06"
"Steven N'Kemboanza Mike Christopher Nzonzi","1988-12-15"
"Artem Dzyuba","1988-08-22"
"Yann Gérard M'Vila","1990-06-29"
"Sven Ulreich","1988-08-03"
"Cristhian Ricardo Stuani Curbelo","1986-10-12"
"Sofiane Feghouli","1989-12-26"
"Gylfi Þór Sigurðsson","1989-09-08"
"Diego Perotti","1988-07-26"
"Marco Parolo","1985-01-25"
"Moussa Sissoko","1989-08-16"
"Nordin Amrabat","1987-03-31"
"Sidnei Rechel da Silva Júnior","1989-08-23"
"Vedran Ćorluka","1986-02-05"
"Séamus Coleman","1988-10-11"
"Olivier Giroud","1986-09-30"
"Vitorino Gabriel Pacheco Antunes","1987-04-01"
"Éder Citadin Martins","1986-11-15"
"Juan Manuel Mata García","1988-04-28"
"Ángel Luís Rodríguez Díaz","1987-04-26"
"Mathieu Valbuena","1984-09-28"
"Marcelo Alfonso Díaz Rojas","1986-12-30"
"Nahuel Ignacio Guzmán","1986-02-10"
"Kévin Gameiro","1987-05-09"
"David Ospina Ramírez","1988-08-31"
"Pedro León Sánchez Gil","1986-11-24"
"Diego Hernán Váleri","1986-05-01"
"Márcio Rafael Ferreira de Souza","1985-09-07"
"Laurent Koscielny","1985-09-10"
"Ben Foster","1983-04-03"
"Benoît Costil","1987-07-03"
"Javier Alejandro Mascherano","1984-06-08"
"Francisco Guillermo Ochoa Magaña","1985-07-13"
"José Manuel Reina Páez","1982-08-31"
"Ricardo Andrade Quaresma Bernardo","1983-09-26"
"Sebastián Bruno Luna","1988-02-29"
"Enzo Manuel Aguerro","1988-02-29"
"Daniel Martín Lenzado","1988-02-29"
"Vladimír Coufal","1992-08-22"
"Ondřej Kolář","1994-10-17"
"Lorenzo Jesús Morón García","1993-12-30"
"Luis Milla Manzanares","1994-10-07"
"Anthony Nuatuzor Nwakaeme","1989-03-21"
"Matías Nicolás Rojas Romero","1995-11-03"
"Domingos Sousa Coutinho Meneses Duarte","1995-03-03"
"Patrik Schick","1996-01-24"
"Miguel Ángel Almirón Rejala","1994-02-10"
"Fred Claudinei Tófoli Vilela","1988-02-29"
"G. Pierre Paiva Souza","1996-02-29"
"Alberto Marcelo Dutra Cirino","1992-02-29"
"Vincente Filho Dourado Hermes","1996-02-29"
"Wellingt. Edson Sabrão Rolim","1988-02-29"
"Falaye Sacko","1995-05-01"
"Pierre Lees-Melou","1993-05-25"
"Stefano Sensi","1995-08-05"
"João Maria Lobo Alves Palhinha Gonçalves","1995-07-09"
"Manuel Obafemi Akanji","1995-07-19"
"Florian Grillitsch","1995-08-07"
"Daniel Castelo Podence","1995-10-21"
"Aritz Elustondo Irribaria","1994-03-28"
"Benjamin Verbič","1993-11-27"
"Abdou Diallo","1996-05-04"
"Jonathan Bamba","1996-03-26"
"Jonathan Javier Rodríguez Portillo","1993-07-06"
"Ruben Aguilar","1993-04-26"
"Krzysztof Piątek","1995-07-01"
"Franco Emanuel Cervi","1994-05-26"
"Ángel Israel Mena Delgado","1988-01-21"
"Jonathan Rodríguez Menéndez","1991-07-09"
"Petros Matheus dos Santos Araújo","1989-05-29"
"Nico Elvedi","1996-09-30"
"武磊","1991-11-19"
"Rafael Santos Borré Maury","1995-09-15"
"Jaume Doménech Sánchez","1990-11-05"
"Yerry Fernando Mina González","1994-09-23"
"Mattia Caldara","1994-05-05"
"Hans Hateboer","1994-01-09"
"Jordan Amavi","1994-03-09"
"Samuel Gigot","1993-10-12"
"Nuno Miguel Ribeiro Cruz Jerónimo Sequeira","1990-08-19"
"Léo Dubois","1994-09-14"
"Stanislav Lobotka","1994-11-25"
"Marcelo Augusto Ferreira Teixeira","1987-10-13"
"Davide Zappacosta","1992-06-11"
